id,name,char_class,level_1_feature,level_2_feature,level_3_feature,level_4_feature,level_5_feature,level_6_feature,level_7_feature,level_8_feature,level_9_feature,level_10_feature,level_11_feature,level_12_feature,level_13_feature,level_14_feature,level_15_feature,level_16_feature,level_17_feature,level_18_feature,level_19_feature,level_20_feature
20,,,,,,Feat,,,,Feat,,,,Feat,,,,Feat,,,Feat,
21,,,,,,Feat,,,,Feat,,,,Feat,,,,Feat,,,Feat,
22,,,,,,Feat,,,,Feat,,,,Feat,,,,Feat,,,Feat,
23,,,,,,Feat,,,,Feat,,,,Feat,,,,Feat,,,Feat,
24,,,,,,Feat,,,,Feat,,,,Feat,,,,Feat,,,Feat,
25,,,,,,Feat,,,,Feat,,,,Feat,,,,Feat,,,Feat,
26,,,,,,Feat,,,,Feat,,,,Feat,,,,Feat,,,Feat,
27,,,,,,Feat,,,,Feat,,,,Feat,,,,Feat,,,Feat,
28,,,,,,Feat,,,,Feat,,,,Feat,,,,Feat,,,Feat,
30,,,,,,Feat,,,,Feat,,,,Feat,,,,Feat,,,Feat,
31,,,,,,Feat,,,,Feat,,,,Feat,,,,Feat,,,Feat,
32,,,,,,Feat,,,,Feat,,,,Feat,,,,Feat,,,Feat,
33,,,,,,Feat,,,,Feat,,,,Feat,,,,Feat,,,Feat,
34,,,,,,Feat,,,,Feat,,,,Feat,,,,Feat,,,Feat,
35,,,,,,Feat,,,,Feat,,,,Feat,,,,Feat,,,Feat,
36,,,,,,Feat,,,,Feat,,,,Feat,,,,Feat,,,Feat,
37,,,,,,Feat,,,,Feat,,,,Feat,,,,Feat,,,Feat,
38,,,,,,Feat,,,,Feat,,,,Feat,,,,Feat,,,Feat,
39,,,,,,Feat,,,,Feat,,,,Feat,,,,Feat,,,Feat,
40,,,,,,Feat,,,,Feat,,,,Feat,,,,Feat,,,Feat,
41,,,,,,Feat,,,,Feat,,,,Feat,,,,Feat,,,Feat,
42,,,,,,Feat,,,,Feat,,,,Feat,,,,Feat,,,Feat,
43,,,,,,Feat,,,,Feat,,,,Feat,,,,Feat,,,Feat,
44,,,,,,Feat,,,,Feat,,,,Feat,,,,Feat,,,Feat,
45,,,,,,Feat,,,,Feat,,,,Feat,,,,Feat,,,Feat,
46,,,,,,Feat,,,,Feat,,,,Feat,,,,Feat,,,Feat,
,,,,,,Feat,,,,Feat,,,,Feat,,,,Feat,,,Feat,
,,,,,,,,,,Feat,,,,Feat,,,,Feat,,,Feat,
,,,,,,,,,,,,,,,,,,Feat,,,Feat,
,,,,,,,,,,,,,,,,,,,,,Feat,
